	T0	T1	T2	T3	T4	T5	T6	T7
D237	0.02646660	0.51883984	0.00648001	0.01020724	0.31768170	0.00246472	0.02826160	0.08959825
D238	0.00402599	0.65935701	0.06683103	0.02967105	0.00780308	0.00226466	0.04625996	0.18378727
D239	0.00117899	0.51992553	0.00174360	0.03840143	0.37071931	0.03037563	0.00166198	0.03599354
D240	0.00436926	0.54503822	0.00106976	0.22408579	0.02692337	0.00769872	0.00466559	0.18614934
D241	0.00905959	0.39683273	0.00221813	0.07909136	0.10118359	0.03864238	0.00967402	0.36329827
D242	0.00170623	0.59763581	0.00252334	0.01257468	0.10650641	0.00095977	0.00240521	0.27568856
D243	0.22644202	0.16618407	0.01162308	0.12097607	0.12027831	0.06390745	0.00251328	0.28807575
D244	0.00086911	0.70305383	0.01880769	0.16410649	0.00606507	0.00048888	0.02312810	0.08348084
D245	0.02490266	0.00558356	0.09394474	0.00523541	0.46878877	0.04657472	0.00316808	0.35180208
D246	0.00546861	0.01358652	0.47666910	0.01273937	0.01059914	0.00307615	0.33847240	0.13938875
D247	0.04092937	0.01683469	0.01002104	0.08409172	0.69620013	0.03796493	0.04370525	0.07025285
D248	0.16106822	0.09098048	0.06781461	0.00806588	0.07934994	0.06681168	0.13393489	0.39197427
D249	0.05742990	0.01287666	0.00766498	0.03819728	0.11453938	0.00291543	0.00730614	0.75907022
D250	0.11724190	0.17699654	0.00750763	0.03750982	0.21699905	0.00645231	0.07708208	0.36021063
D251	0.01183367	0.08322088	0.11578159	0.12380575	0.03102169	0.00781265	0.00103477	0.62548900
D252	0.00655223	0.01627872	0.00969009	0.01526371	0.80530953	0.00368569	0.00923645	0.13398357
D253	0.00152287	0.13427198	0.00992797	0.11100870	0.29463172	0.00085663	0.06355309	0.38422701
D254	0.01858645	0.08025819	0.00248067	0.14763464	0.34988701	0.00094354	0.01927361	0.38093591
D255	0.00131148	0.00325830	0.00854981	0.14848113	0.41898900	0.00073772	0.05473092	0.36394164
D256	0.00754954	0.01875648	0.58194768	0.01758698	0.01463234	0.00424669	0.04869450	0.30658573
D257	0.00184937	0.02323753	0.38491356	0.01362961	0.03154869	0.01036172	0.00260699	0.53185254
D258	0.00201872	0.05589063	0.16578615	0.00470271	0.34986404	0.00113555	0.00284572	0.41775650
D259	0.21459711	0.05338597	0.00136294	0.35982114	0.06217276	0.00051840	0.01987961	0.28826213
D260	0.00090892	0.03890841	0.01508804	0.17620595	0.01092421	0.00051128	0.04709406	0.71035916
D261	0.00492555	0.01223730	0.15624280	0.08595348	0.45642179	0.00277067	0.00694337	0.27450508
D262	0.00085414	0.08822516	0.00126319	0.24307844	0.01026579	0.01770108	0.02272983	0.61588240
D263	0.11631112	0.22323412	0.05497953	0.00480040	0.07669876	0.00115914	0.14831452	0.37450245
D264	0.01603060	0.03235761	0.29386178	0.06001665	0.00735332	0.00034415	0.01319749	0.57683837
D265	0.00638550	0.15537633	0.20707992	0.11752706	0.01564000	0.00032416	0.01824004	0.47942698
D266	0.03871075	0.00110947	0.05242962	0.07756866	0.03012637	0.01825787	0.00062951	0.78116775
D267	0.00438165	0.56300980	0.00648002	0.01020724	0.11891716	0.00246472	0.00617665	0.28836280
D268	0.00253450	0.04462096	0.69358230	0.05700304	0.00491230	0.00142568	0.00357279	0.19234850
D269	0.01298452	0.55582988	0.01920281	0.03024801	0.02516630	0.00730392	0.28008902	0.06917559
D270	0.00334684	0.59873635	0.00494964	0.00779661	0.05709430	0.00188263	0.17340972	0.15278386
D271	0.00386897	0.55563724	0.10322627	0.00901293	0.04650053	0.04117812	0.16146110	0.07911478
